sentence,category
Termos e Condições deste contrato.,orgão público
"Curso de bioquímica, aula teórica no primeiro período e inscrições abertas.",educação
A união entre os dois bancos foi aprovada pelo CADE em 18 de agosto de 2010.,finanças
Inscrição pela internet para o próximo semestre.,educação
Quais as orientações que devem ser observadas para a melhor preservação da carroceria do veículo?,indústrias
"Agende um Test Drive, Encontre uma Concessionária mais próxima de você.","indústrias,varejo"
"BRK Ambiental doa R$ 2,5 milhões ao IAS em apoio a projeto de capacitação na retomada das aulas presenciais.","educação,indústrias"
Apreensão da CNH.,orgão público
"Quantidade de Parcelas, selecione.",finanças
"MINISTÉRIO PÚBLICO DO ESTADO DE SÃO PAULO - MPSP, EDITAL 01/2020 Período de inscrições: 05/01/2021 até 11/01/2021. INSCREVA-SE",orgão público
O Brasil dispõe de um dos mais modernos sistemas bancários privados do mundo.,finanças
Banco de Medidas Protetivas será realidade no país - Portal CNJ,orgão público
"A gente trabalha os perigos. Existem vários tipos de perigos: em várias etapas, ocorrem falhas no processo.",indústrias
Documentação Trabalhadores da Limpeza Urbana.,orgão público
SENAI - Aprendizagem Industrial de Assistente de Produção.,"educação,indústrias"
Dentro de todos os padrões estabelecidos nos nossos manuais de boas práticas é o melhor.,indústrias
Anunciado novos secretários para a gestão 2021-2024.,orgão público
"Informativos O SONHO QUE VIROU REALIDADE: MORADORES DO BAIRRO ANHANGUERA, RECEBEM ESCRITURA DE SUAS CASAS.",orgão público
"As normas nacionais de direitos humanos consistem, principalmente, de tratados e costumes, bem como diretrizes e princípios, entre outros.",orgão público
Bem-vindo ao site Ofertas Chevrolet! Encontre aqui as melhores ofertas da sua região.,varejo
COMO SE DEVE PROCEDER PARA VERIFICAR O NÍVEL DO ÓLEO DO MOTOR?,indústrias
Solicitação de serviços ,varejo
Juntada de Petição - Referente ao Evento: EXECUÇÃO/CUMPRIMENTO DE SENTENÇA,orgão público
"Curso de Técnico em Segurança do Trabalho por 32x R$ 161,03.","educação,finanças"
ENCONTRE A CONCESSIONÁRIA MAIS PRÓXIMA.,varejo
Classificação Energética 110v,indústrias
10 é a Pontuação máxima,educação
Faça o download do manual do proprietário do seu Volkswagen.,varejo
O desemprego é extremamente elevado e a desigualdade de renda é aproximadamente igual à do Brasil .,finanças
O curso de Pós-Graduação em LIBRAS é destinado a profissionais de Fonoaudiologia e áreas direcionadas à Educação.,educação
O dólar americano continua sendo a moeda constitutiva de mais de 70% das reservas internacionais.,finanças
"Em poucos cliques, você emite certificados para participantes, organizadores, palestrantes e para autores, avaliadores e apresentadores de trabalhos científicos.",educação
Carro com porta malas de 435 Litros com espaço de carga versátil para as exigências do seu dia a dia.,indústrias
"Chocolate 60% Cacau e pedaços de laranja Lacta Intense pacote 85g por R$ 6,79.",varejo
PROJETO DE LEI Nº 260/2020.,orgão público
 Compre na web e saia com dinheiro no bolso!,varejo
Envios de documentos e emissão de documentos.,orgão público
"CI Nº 117/GP JGF/2021, ENCAMINHAMENTOS NECESSÁRIOS PARA NOMEAÇÃO DO SERVIDOR ALEXANDRE LUIZ QUEIROZ",orgão público
As melhores ofertas de verão.,varejo
Vale fará testes mensais de sirene em Nova Lima.,indústrias
"Com temperatura externa de 35 °C, seu carro na velocidade de 80 km/h, tem resfriamento com Ar condicionado modo Eco",indústrias
Cliente Claro tem descontos exclusivos.,varejo
"A disciplina analisa as representações sociais e construções de identidade nos diferentes ambientes, suas inter-relações e influências no desenvolvimento humano.",educação
Declaração de matrícula ou frequência assinada e carimbada pela instituição de ensino ou trabalho.,educação
Jogo de amortecedores dianteiro para Logan e Sandero disponíveis na garantia.,indústrias
"Mensalidade em 2021 apenas 15 x 480,00 também com 50% de desconto.",varejo
Justiça gratuita: Deferida,orgão público
EMENDAS APRESENTADAS PELOS VEREADORES NO DIA 18/12/2019,orgão público
Prefeito João Henrique Caldas recebe pastores e trata sobre projetos sociais,orgão público
Você paga qualquer valor da sua fatura em qualquer momento aqui no Itaú.,finanças
"Envio do TCC - Metodologia de ensino de Língua Portuguesa, Literatura e Língua Espanhola - 620 horas.",educação
"Ação faz parte do Revitaliza SP, projeto que incentiva a conscientização dos moradores do bairro",orgão público
Faça vestibular e estude EAD ou transferência na segunda graduação e volte a estudar.,educação
Escolha uma concessionária para buscar o carro que combina com você.,"indústrias,varejo"
Suspensão do direito de dirigir.,orgão público
"Operações logísticas no próximo tópico, espero você lá.",educação
"Relações Humanas, carga horária total do módulo 14hs.",educação
"Com sua esposa Maria e seu filho Anton Wilhelm, Caspar Faber começa a produzir lápis em Stein, perto de Nuremberg.",indústrias
Monitoramos constantemente a segurança e eficácia dos nossos produtos. Relate os eventos adversos ocorridos com o uso de nossos produtos​.,varejo
"Graduação Superior de Tecnologia em Automação Industrial 36x R$ 480,00.","educação,indústrias"
Previdência privada é um produto que ajuda você a ter disciplina para guardar.,finanças
A compra de um produto internacional demora um pouquinho mais pra chegar porque tem mais etapas que uma compra nacional.,varejo
"Contabilidade, Finanças e Análise de Demonstrações Financeiras.",finanças
IPTU 2021 - Parcelas Com Desconto,orgão público
Destaques do carro Polo versão Comfortline 200 TSI.,indústrias
1 produto adicionado à sacola.,varejo
Nossas florestas próprias absorvem mais de 900 mil toneladas de gás carbônico e neutralizam as emissões de nossas fábricas.,indústrias
"Concluído, em andamento, trancada, não finalizado.",educação
Seu limite pode ser reduzido para auxiliar você no controle do seu orçamento.,finanças
"Cursos rápidos de Iniciação, Aperfeiçoamento e Qualificação direcionados para a formação profissional em diversas áreas de atuação.",educação
Piloto automático em seu carro tem o controle automático de velocidade.,indústrias
Todos os Ecolápis são produzidos com madeira 100% reflorestada e o kit vem com um estojo metálico exclusivo.,"indústrias,varejo"
Nissan Grand Livina com substituição do airbag do motorista.,indústrias
"Afinal, como fazer controle de estoque?",indústrias
Nas compras acima de R$99 para a região sudeste e R$199 para o restante do Brasil ganhe frete grátis.,varejo
Graduação: previsão de conclusão de curso de dezembro de 2021 a dezembro de 2022.,educação
Renda Básica Emergencial.,orgão público
Nota: Este texto foi produzido por e é de responsabilidade do gabinete de George Hato.,orgão público
Clique aqui para ver os processos relacionados no TRF4,orgão público
"R$ 84,99 mês, Carrinho, eu quero!","finanças,varejo"
"Caso tenha algum problema em relação ao Certificado Digital, clique aqui para saber como liberar o acesso.",orgão público
"Ações da DIP seguem a todo vapor, sendo coordenadas pela Secretaria de Infraestrutura, Habitação e Serviços Urbanos.",orgão público
Mesa e cadeira monte Líbano Barbie,varejo
Ingressos meia-entrada requer validação de documento.,varejo
"Auxiliar de produção, vaga para os três turno na fábrica em São Paulo.",indústrias
Precauções para acesso e permanência em sessões públicas presenciais.,orgão público
Órgão Julgador: Juízo Substituto da 1ª vara de Capão da Canoa,orgão público
Onde você utilizará nossos produtos?,varejo
Medidas de redução de perdas de água em redes de abastecimento.,orgão público
"Atingimos os melhores resultados com menos recursos, focamos na competitividade e na avaliação contínua das melhores práticas.",indústrias
A maior produtora e exportadora de papéis para embalagens do Brasil.,indústrias
"Fique atento, o prazo para declarar seu Imposto de Renda termina dia 31/05/2021",orgão público
Acompanhe as ações da SPTrans que contribuem para a promoção da cidadania.,orgão público
Conheça a série de cores de tintas e selecione a sua preferida.,varejo
"RENAULT ANUNCIA INVESTIMENTO DE R$ 1,1 BILHÃO PARA A RENOVAÇÃO DA GAMA ATUAL DE PRODUTOS NO BRASIL","finanças,indústrias"
Gostaria de saber os valores dos shampoos.,varejo
"Língua Portuguesa, leitura do segundo Poema.",educação
O banco pode fazer a redução de limite do cartão e você será comunicado antes.,finanças
"Pós-graduação em Engenharia de Automação Industrial 24x R$ 390,00","educação,indústrias"
Selecione o tipo de documento; Documentos Pessoais e Documentos Acadêmicos.,educação
Cumprimento de Sentença contra Fazenda Pública  Nº 5000524-55.2019(Processo Eletrônico - E-Proc V2 RS),orgão público
É uma forma do investidor se programar para a realização dos seus objetivos.,finanças
Dois produtos adicionados na sacola.,varejo
Medicina com nota máxima no MEC.,educação
Quem está apto para o estágio ou para ser aprendiz?,educação
"Matemática capítulo 1, sistemas de numeração.",educação
Parcelas de R$1.699 no Nissan Replay.,"finanças,indústrias"
PROCEDIMENTO DO JUIZADO ESPECIAL CÍVEL Nº 5002678-90.2021.4.04.7121 (Processo Eletrônico),orgão público
"Nova Chevrolet S10 High Country 2022 , preto ouro.",indústrias
SECRETÁRIA DE EDUCAÇÃO REALIZA ENTREGA DE LIVROS DIDÁTICOS PARA ALUNOS DO ENSINO INFANTIL.,educação
"EM CONDIÇÕES PARTICULARES, QUAL O INTERVALO RECOMENDADO DE TROCA DO ÓLEO DO MOTOR?",indústrias
54% do consumo energético da Vale é produzido pela própria empresa.,indústrias
Cesta Páscoa de Amor,varejo
Cópia do documento que comprove que o locador é o legítimo dono do apartamento.,orgão público
Secretaria de Meio Ambiente de Santo André resgata mais de 200 animais silvestres em 2020,orgão público
Conclusos para decisão/despacho,orgão público
"As ofertas são diferentes para cada localização, ao sair de Porto Alegre você verá as ofertas do novo local selecionado.",varejo
"Desafiado pela dificuldade de aprendizagem dos alunos na matéria, o educador planejou sequência didática inspirada na construção de casas populares.",educação
Veículos e serviços no mundo Nissan.,indústrias
"Orientação profissional completa para quem estuda, para quem trabalha e para quem quer ir mais longe.",educação
Escolha o dia 15 e você terá mais dias para utilizar nossos serviços antes de pagar a 1ª fatura!,"finanças,varejo"
12 Ecolapis de Cor Bicolor Kit Escolar = 24 Cores + 2 Grafite.,varejo
Selecione a versão  atual do Nissan Kicks 1.6 ,indústrias
16/04/2021 09:59 - 131. Processo Suspenso ou Sobrestado por decisão judicial - Aguarda decisão da instância superior,orgão público
Acesso exclusivo para alunos e acesso exclusivo para professores.,educação
Temos o programa de rotulagem veicular de segurança.,indústrias
Prefeitura da Cidade do Rio de Janeiro e Secretaria Municipal da Casa Civil.,orgão público
Competência: JEF Benefício Assistencial.,orgão público
Produção de Arte gráfica para confecção de convites para acompanhar a audiência publica.,orgão público
Informações Legais - Volkswagen do Brasil.,"indústrias,orgão público"
"As operações de cartões de crédito passaram a contemplar as empresas Itaucard, Unicard e Hipercard.",finanças
